Actual,Predicted
875,782.7
1274,1383.86
1047,1192.56
2698,2277.8
23,19.68
36,124.84
3749,3636.49
0,1.11
817,781.57
17,35.16
0,0.02
1,0.9
381,400.18
2755,2888.08
3112,3153.45
212,200.06
1,0.74
1893,2368.05
0,0.0
1716,1499.89
2819,2446.15
0,0.0
0,0.0
1,0.9
2518,2617.56
3595,3335.33
252,229.85
1902,2490.61
40,31.16
1,1.01
3839,3490.48
887,1302.1
7,5.56
3770,3762.45
0,0.0
3611,3503.76
2761,2288.33
2275,2043.21
1663,2747.83
1727,1773.57
2130,2034.81
1,1.09
1,1.06
176,239.46
1835,2285.63
2355,2204.47
1178,1191.87
1805,2078.67
895,807.3
1182,1144.07
1,1.04
908,1329.23
1,0.57
3456,3286.48
1774,1465.11
1729,1560.38
905,1451.65
2,1.41
2481,2320.82
0,0.0
3,2.84
1285,1160.42
0,13.51
2810,2578.97
2661,2598.93
3,2.51
988,837.79
0,0.0
3351,2945.28
567,1094.57
16,27.35
2211,1946.13
1015,1208.12
2614,3190.0
0,0.0
0,0.0
1834,2226.31
858,866.95
0,0.5
349,378.79
4264,4121.23
0,0.02
2133,2090.95
67,62.15
3413,3230.74
4396,3917.04
14,15.92
0,0.12
3321,3497.9
0,0.09
1,0.4
634,708.56
3309,3414.33
5,21.52
0,0.0
565,697.87
1,1.03
1,1.0
474,294.88
3,3.94
1,1.34
3099,2866.69
1,1.22
1579,1520.14
1947,2154.98
1,1.89
1,1.31
2568,2627.33
34,29.17
2,1.56
1,1.12
2638,2641.31
1024,1247.44
6,0.75
33,36.33
2458,2377.75
0,0.48
3333,3253.59
0,0.03
0,0.44
86,107.44
505,509.42
1955,2105.23
59,71.33
645,633.78
181,171.5
502,551.96
2636,2345.15
844,801.49
4584,4036.39
1931,2093.68
0,0.04
1689,1567.49
0,0.71
3857,3760.03
1399,1697.27
285,212.84
49,39.45
1,1.0
1174,1727.9
0,0.07
1,0.59
0,0.04
4619,4398.38
1923,2138.07
446,360.97
3326,3034.78
1,1.58
1155,1539.8
1341,1353.42
2834,2599.86
2800,2870.27
2598,2626.72
2476,2607.53
2,1.08
1,0.92
217,215.72
265,263.11
0,0.0
2562,2528.21
33,29.38
1,0.84
0,1.55
297,259.15
4505,4530.67
1,1.3
248,665.5
2755,2128.19
2855,2883.67
3367,3151.6
83,126.25
2467,2436.04
3367,3335.01
0,0.51
893,1196.4
0,0.02
121,124.29
3724,3310.94
0,0.0
3778,3337.38
2253,2554.0
29,43.24
2,1.7
2,0.01
1488,2149.61
3,1.26
566,618.82
2575,2641.88
3795,3472.98
1835,1581.99
1,0.87
2229,2072.46
3306,3393.28
3034,3046.38
30,29.17
75,74.34
1919,2111.89
335,340.22
64,89.33
1,1.54
111,104.78
1,1.05
16,32.38
3323,2907.17
2325,3061.76
1643,1749.87
2,1.01
1550,1685.48
1,1.03
0,0.28
253,207.65
0,0.04
1942,1995.87
1261,885.89
0,10.74
2196,2170.33
129,115.77
2938,3166.96
2403,2205.44
2,2.08
1128,1103.12
264,229.23
0,0.07
1836,1942.94
2897,2718.05
555,480.8
0,0.03
2315,2621.28
1,1.0
27,23.8
0,0.21
101,120.75
3808,3711.52
2111,2551.75
33,28.35
1244,922.04
3,1.07
3333,2865.73
1,0.87
2253,2199.07
612,774.7
1999,2156.86
0,0.06
984,1047.63
3061,2868.72
211,213.32
3045,2708.2
243,232.51
24,22.94
109,116.13
2219,2507.66
2746,2902.44
927,734.04
3,0.67
25,32.92
0,2.35
2290,2803.63
3001,2960.63
687,904.8
3301,3047.0
2676,2652.57
908,736.67
1073,942.08
2602,2738.12
0,0.74
2269,2545.98
0,0.0
235,256.69
1,90.36
0,0.11
1,0.99
1860,1789.96
1,0.82
3523,3242.26
27,26.43
351,610.66
3068,3460.71
227,194.44
69,85.49
2951,3144.65
13,23.24
179,181.91
2637,2507.44
37,31.65
2385,2132.31
0,0.01
2974,2876.82
318,332.85
47,213.73
405,627.66
1,0.0
2825,2733.92
1,1.0
2139,2050.68
2329,2318.66
2325,2238.08
3,1.77
1,0.82
2170,2460.62
2,1.58
1786,1881.93
316,353.52
1294,1358.59
3754,2828.84
2282,2637.93
0,0.0
605,766.79
2443,2506.6
1,1.29
1888,2124.95
951,1332.05
1840,1500.17
1764,1742.54
0,0.03
1823,1873.78
2038,2281.06
1849,1803.48
3543,3266.84
1840,1872.41
1216,1271.87
356,304.11
1,1.09
1060,743.53
1,0.96
2282,2597.95
3294,3275.05
431,441.78
1838,2059.95
3959,3866.24
1002,1159.8
3306,3396.13
3441,3136.18
228,227.76
2430,2686.45
1,0.71
1,1.1
4054,4030.99
0,0.04
1361,1146.15
2977,2981.79
0,0.0
1529,1628.7
0,0.0
3865,3706.49
3762,3528.29
2632,2813.85
3791,3343.31
3212,3098.16
679,913.44
2115,2669.46
72,69.24
1,1.25
3771,4162.94
0,0.0
1034,911.5
645,485.66
2,1.47
192,198.75
1493,1647.85
0,0.06
905,1062.51
1438,2612.39
211,223.53
0,0.0
2313,2058.5
3668,3671.52
1070,977.74
0,0.03
2289,2120.07
53,159.05
1714,2195.56
1914,1824.75
1,1.0
1998,1819.21
2,0.98
2078,2503.41
3662,3745.45
2635,2414.19
79,79.75
0,0.35
2,1.13
3833,3367.65
2008,2488.86
2787,2979.98
2050,2336.13
1807,1396.27
4289,2959.01
1,0.91
1,1.03
1,1.53
2223,2501.48
37,34.56
0,0.01
412,487.9
3,1.82
2636,2341.72
17,19.71
578,1151.44
2529,2719.12
1,1.02
0,0.02
0,0.02
1145,1437.15
1737,1669.43
771,939.03
1804,1810.4
4637,4344.04
3,2.18
2856,2826.31
2991,2347.75
263,256.82
334,328.82
10,12.02
3,1.81
0,0.67
2399,2324.98
291,269.83
2185,2047.58
3352,3171.15
44,37.97
39,56.94
1,0.91
1,0.68
2899,2683.86
1579,1345.67
0,0.02
2889,3010.7
4090,3622.57
0,0.44
0,0.36
0,0.01
4065,3481.37
2882,2740.65
1,0.97
91,96.97
948,651.25
3676,3638.32
0,0.57
0,78.25
279,282.31
3487,3337.58
4196,3945.08
2337,2438.47
1,0.0
2074,2289.29
1,1.99
0,0.51
739,905.16
3990,2938.39
4015,3966.31
2540,2738.85
3,2.57
1,1.86
970,856.49
3,1.73
0,0.44
1519,1358.76
3806,3596.85
0,0.02
2429,2881.12
0,0.0
0,0.0
0,0.53
319,430.13
857,912.2
2184,2067.47
3792,3688.8
1,1.01
1196,1101.87
2787,2583.71
2516,2475.71
2223,1949.36
108,91.33
1687,1776.22
49,49.82
47,41.92
3415,3137.46
289,222.3
166,175.4
882,862.44
2366,2349.3
2,2.0
2394,2211.81
0,0.01
1,0.97
1451,1503.04
5,4.22
4,5.99
2305,2432.9
3,1.98
0,0.79
157,195.65
2890,2873.74
1,1.83
0,17.43
0,0.01
4060,3637.11
31,32.0
3371,3304.93
56,190.28
1124,996.1
28,34.42
2209,1609.57
3117,3096.59
2576,3031.48
161,202.23
228,260.35
3550,3667.85
1499,1749.13
39,41.38
2767,2919.35
145,133.89
1933,1885.8
0,0.06
0,0.02
15,15.74
3547,3430.37
3,3.55
380,609.0
2972,2615.68
3122,2871.01
3079,3091.13
2,0.66
0,1.09
2817,2680.67
2156,2022.93
0,1.5
3045,3132.73
0,0.2
157,199.35
2423,2450.04
1,1.37
943,882.87
1016,638.55
330,745.92
119,90.94
3694,3449.29
3208,3078.54
1947,1862.43
2,1.13
3444,3389.72
1586,1484.48
600,549.27
66,57.77
0,0.26
211,208.95
1117,1211.35
0,0.01
481,414.13
2696,2791.57
54,106.87
1,1.38
2,0.77
0,0.0
0,0.03
0,0.0
1118,731.9
685,1124.13
4820,4660.51
2231,2548.86
3093,3478.65
1,1.09
2028,2134.77
2864,2947.27
2345,2291.1
2853,2787.97
293,295.67
2321,2357.54
0,0.02
2231,2163.32
3107,3893.93
40,35.35
0,0.0
3516,3213.31
48,60.65
228,237.78
1227,1068.31
0,1.13
0,0.27
2537,2333.21
1951,2057.13
1219,1116.17
2305,2439.88
1481,1281.44
77,68.53
0,0.41
2741,3068.87
1801,1791.57
1,0.6
3878,3601.52
0,0.62
1557,1730.72
3672,3439.4
3024,2845.75
227,360.14
850,787.12
0,0.63
3420,3255.69
1,1.26
295,295.23
0,0.84
2,1.67
1,1.01
4085,3831.77
485,367.17
1,1.2
0,0.41
1412,1258.02
2,1.11
2310,2184.17
3379,3555.29
2272,2381.63
1168,1177.1
26,24.01
1,1.11
2312,2022.35
0,0.13
2,1.05
1370,1439.3
2,1.86
0,0.0
3269,3179.44
3,0.51
3545,3412.25
565,492.96
3,2.15
268,232.64
1874,1919.98
1343,1402.97
3863,3715.87
148,365.44
299,299.03
1368,2173.55
2415,2125.48
1,1.2
2838,2624.78
42,34.91
0,1.0
1,1.32
3547,3761.51
3,3.69
2,0.42
0,0.18
247,247.65
1,7.02
2058,2148.98
278,273.04
167,131.61
1334,1537.86
1920,2230.09
0,0.02
0,0.0
1473,1473.77
0,0.01
1,1.07
516,760.24
1,0.99
4331,3702.91
2840,2571.44
4320,4006.29
