Actual,Predicted
2038,297.29507
488,782.7689
2427,808.25525
4412,860.92816
2516,1480.1045
4060,1569.237
1774,2338.289
2847,1696.5521
1291,1028.6088
258,1348.4296
258,570.90265
75,718.6383
75,826.1867
18,1259.2859
5,592.2584
1955,443.7356
933,776.69336
9,998.55646
3357,269.46497
1,1048.0898
3061,787.9702
462,1198.9868
2545,1324.2609
1282,1324.6737
2703,1576.6838
1,1516.2058
1,1374.1094
1,1184.7568
52,1051.3628
303,1170.1047
426,873.117
4543,1015.2338
1075,1247.4023
4289,1202.8925
167,1203.4163
167,1011.04785
1,627.9725
1,739.1369
1823,1072.1497
1823,654.9636
1181,1112.5991
297,871.3483
1,448.1005
160,501.76785
1699,551.3641
1,1312.7976
502,850.7757
2401,1148.8182
1716,1246.3938
179,777.4819
179,753.7924
1,679.7039
24,768.0085
327,1113.1101
2676,1162.8125
2676,1250.0454
3191,1138.8801
1260,1571.2992
1,675.434
22,868.09625
1087,703.7178
3340,711.634
2573,1295.7288
598,1544.3884
8,735.5291
1,722.6536
1,700.467
3229,827.92993
142,856.3863
142,790.5416
4,830.72253
1681,806.5481
1599,993.96173
5,1148.5659
1,808.87134
1,684.25494
1,990.96826
1104,715.7147
10,688.3859
1,755.6701
2463,903.77826
2463,1125.0596
3620,881.7897
3237,1192.5641
2684,1417.101
884,1387.5918
210,849.10986
210,740.42676
3,687.36084
31,768.1899
2658,726.52167
1065,881.53986
612,754.4998
10,923.3905
0,1089.8215
3802,1139.6079
3345,1293.6616
2819,1199.1547
4283,931.46436
15,1674.5405
2409,1138.0466
894,973.6298
2050,1603.7804
2050,1450.154
2651,1202.5282
1559,1421.0597
786,1646.0819
1,974.75494
396,653.8431
2705,930.25934
2705,1213.2582
2685,1400.7891
0,1605.0527
1,1874.4353
597,707.2154
1317,1183.9006
3028,1957.9413
247,2147.3047
247,1152.3188
1,1092.2305
1,1354.8123
1322,1081.2867
1914,1170.2751
930,985.9961
1,960.60706
1,961.40643
2082,259.77512
3309,596.62366
1838,1682.7532
1,857.77435
446,358.96603
3489,190.66832
3489,531.6689
4521,1525.0892
2223,1914.426
1,1600.5222
1,676.58014
59,854.66095
3711,938.73004
3482,1605.0077
1750,1311.6986
1,1797.1597
1,1156.0422
4177,1086.0499
4389,1935.7312
1,2763.9673
1,1311.1238
1,1116.9746
1,395.58304
1,457.2074
976,648.6968
976,493.4805
1991,1569.485
1960,1151.0742
120,1415.7812
120,1180.0452
1,424.6961
1,439.6025
3591,327.3835
3591,913.2488
2059,1247.855
2,1032.3859
1,1159.019
9,757.97845
2587,195.32808
2587,1065.3359
3547,1037.1647
3583,1560.0669
2963,1442.436
1,1750.7731
923,489.3721
2779,855.4221
2779,1182.3973
3546,1936.6007
690,1809.8921
2,1530.0486
1,827.0804
10,1331.0078
2278,1119.1718
377,982.16
1,989.5662
3585,246.82056
3581,1023.9686
1714,1490.8438
795,1107.0659
3,940.6503
21,1055.2826
2150,1127.6718
1910,1665.9534
725,1648.5004
1,1456.7948
1,1059.7853
2209,1087.6838
2325,1122.4316
2494,1943.882
2120,1467.1606
559,1253.5828
1,1168.8103
163,656.1081
1804,734.9013
1804,1007.3165
2375,894.45135
2874,1335.1323
2787,1603.6577
813,1811.5996
4,1109.4589
1,792.41425
2396,761.3923
1752,1124.5347
162,896.015
162,1223.3245
328,1090.8577
3298,766.7372
2978,2124.6042
1902,1656.2017
1,1357.4683
3290,1520.7034
3533,1357.4395
2,2203.7053
1,1030.0747
18,902.5029
196,867.32733
1471,954.4111
1908,1087.3988
1786,1227.1438
1,1168.4202
2185,1245.5459
1522,1028.3492
335,1163.6438
3751,1294.238
1829,1137.1976
12,1347.3271
2231,1003.9271
2231,1808.2867
2811,1642.1611
1,1941.9263
3701,1494.0869
2,986.607
1,1836.0735
0,761.2978
1374,567.06866
4055,1082.112
4583,558.18286
242,717.82526
242,961.2608
1,949.78613
302,679.9432
1529,277.60684
2403,599.1945
549,1262.424
23,1368.3208
1,824.112
1,1193.013
3264,724.12805
20,1184.8368
2,620.69946
1,611.0384
1227,134.69844
3291,585.2445
3461,1117.9274
2399,1401.8435
18,1856.9302
2432,1101.0815
1463,972.105
770,1319.0874
3703,1377.4409
1,1229.7281
3718,802.412
17,1211.0662
1,1469.8918
1,910.6341
2584,1109.2577
4582,1682.6013
3912,1119.5021
3194,1789.3854
4066,1404.2037
4514,2277.1262
4351,2047.8256
408,2596.522
2755,1045.3606
2755,1405.7122
3435,1684.9226
3763,1659.9521
3121,2259.0747
274,2889.832
274,1387.8214
2325,1203.2656
3677,2519.9814
2753,3373.9192
1953,2649.0388
1029,1497.1067
290,1722.8943
290,1018.51556
23,922.583
1,1187.0236
4516,1091.0687
4263,1451.2172
24,2000.2212
1,1090.3264
1,1028.287
15,887.815
0,445.10208
1,746.6368
1,939.2143
1,920.7508
29,278.29953
29,982.17346
226,596.6446
226,890.8818
24,1478.4048
1,1161.6594
1,935.26337
1,682.7918
1,131.25952
1,1172.3076
233,770.33563
233,1181.9613
1,377.229
1,407.30008
3938,414.14413
3502,485.49844
1,517.224
1,671.9604
2341,608.41766
2533,563.48114
1,526.14746
1,584.6679
1278,233.53912
1009,523.3967
1446,587.3444
49,751.0983
4,371.8463
3,468.89542
1,473.1823
2475,603.70416
2907,827.26337
4396,1107.3281
1050,1339.8326
4085,995.10846
345,1125.185
345,951.2218
42,651.5084
1,1043.8506
1,1062.2349
55,911.8957
3615,39.821175
3315,760.576
2415,1134.7466
39,967.5334
2,879.08136
1,873.32623
65,527.9308
1473,682.37024
2634,899.2448
4728,1537.3969
1,1986.1653
1450,1057.1976
4647,866.8621
3841,1161.917
1,2220.3208
1202,1443.9106
3868,1002.185
21,1603.0046
1,900.2092
2,715.2596
924,934.7815
1871,695.44324
1871,910.0208
2366,1041.3447
1,927.7675
57,977.301
2600,849.22394
2600,1429.6818
42,2037.195
