Actual,Predicted
280,1039.1194615737204
3966,4305.222613680076
2176,2478.561065879143
4241,1502.440866583469
94,1229.796778927801
2198,2447.5215558592336
1490,3041.727892047247
4810,4449.1293535840105
1218,3959.2389953217516
2980,2335.2245603300853
0,1914.3909469697264
3449,2731.832383101386
4164,4137.073179540983
3837,3078.3626893514756
708,661.7597766975396
581,708.673842855891
5451,4527.56991135872
4927,3195.757427030245
1576,3077.5575865465235
1078,2038.31419989819
647,568.5907546517428
380,4175.406483300716
0,-34.61672862629166
295,729.8131593688759
1303,3080.2630417094933
1063,1425.8591918668117
3189,3360.0659598013463
2790,4225.256992330995
984,3761.00170680856
30,-480.16458575089746
7123,3169.2200960915234
23,313.902440647189
2675,1819.6232560508815
2572,1504.03854139957
2,1307.2827122751205
8695,3199.672353103744
2703,1716.8888514782357
3194,1084.0830645503756
1196,432.2630850666774
5733,3834.7474793584424
6109,3713.518056805611
3201,1931.7099193027116
2,1288.4352967388859
3547,3154.1349390232226
679,4036.860179866826
1021,236.0561975509936
1897,1248.7501292539546
4321,2429.3154282538617
0,196.02611725278803
298,3588.797371617671
715,1986.7921221559536
1735,2701.322881499562
4459,3655.990544347924
0,342.0416241365474
233,303.51669024198964
3013,1041.225751890206
128,1110.1608814690426
3336,1740.659662594715
0,223.99299484187395
3630,3428.6235152059107
1417,2903.9950186478873
4279,3252.435292873897
695,4469.471202804898
2218,1394.632737281434
1300,3685.6448851239275
4432,2038.7776509253472
2745,1663.8589886224818
1217,2581.8420310579695
1,-35.402249899152594
3028,2745.5401149660847
4241,2998.645838141436
253,255.76053080843303
3091,1935.6095675583947
5165,3376.4787049964234
3178,2486.11097393156
2,1474.0332641633158
686,826.4313746496646
770,3755.91076505861
2110,2803.113136137241
1,-466.14682964827625
2166,2006.4811336893927
0,-149.81717464525536
1,-169.87561081882268
521,3273.409317395317
1234,3616.544250878056
3147,1960.9894633972235
1788,2718.56945815978
1,-139.74677046926627
2670,2809.6125870904525
1,2744.8123921560345
2229,4097.240122468998
404,4454.651493148574
3423,2567.7270736947703
2814,1688.0494139255907
1,710.100348143389
4034,3335.127044212264
1373,2654.6291316152074
1942,2546.3138120591484
4765,3327.45317387605
11279,4818.342170099817
4222,1716.6520774820692
1790,3039.1765784910185
7996,5266.95347201772
0,-263.0958410095609
2454,1432.549875276878
604,3267.3090724550293
619,3223.880784162264
1507,2642.6554845259398
1,752.6482110868837
3921,1171.5142029541403
1061,2705.3124557739447
24,686.7841544016719
62,252.80080137921505
4909,3625.9784446694703
0,-118.07543903607984
0,814.4080705963297
4992,3607.1941511033237
2188,3772.058825343165
4344,2736.113205266667
1,606.2465163166253
2600,2703.4747771294296
5336,2891.2368043769548
0,-0.5647319562394841
31,334.56775149062923
4,1124.2590135378086
967,3872.942010319546
0,-102.86510901512338
245,3301.6051225911524
4243,2327.95386016906
1,408.4832157793444
2475,3519.0687324163027
2864,2314.7591521598097
2952,2005.4366869636597
4820,3768.9870880607505
5268,3309.0223187443207
705,3976.5218887054234
3054,2626.4979190887116
1428,5177.671403565824
2463,2778.1552570183285
1963,2124.1352299502923
5525,3721.7134802627133
952,3080.912851594143
1846,830.7713930790796
3429,1605.277776135934
1912,660.6112511421725
1756,3479.94866896223
0,102.67517586345093
1089,1901.9853756474204
5185,3986.2639025269473
2,1518.4149369942043
2647,1557.5968694578496
599,2647.8648669957365
2731,1231.1951829205664
390,3524.8612357869933
680,3472.0064147991234
1397,557.0764435057808
0,506.0640978698084
1915,2460.901464039156
1466,4128.328154001489
3552,2393.0899667176727
1,426.7958129186318
341,324.8394347640151
2523,1668.3089018787668
0,438.01744222377783
12077,3528.638100890721
2599,1041.446727922872
4383,2428.119345913148
711,4057.7731101383124
1572,4127.1395913495635
64,2205.520791751902
833,2965.61411694404
2349,3077.4771124457056
1514,4057.101853352551
3378,3425.588796150145
9428,3301.6089921786206
0,507.36023492318236
1,1756.3992695441575
3961,2336.661651582255
1245,3758.1582062874822
3696,3289.214338422158
0,2018.7137420415402
6852,4129.01846349337
3988,1028.9952632036166
0,776.3226603448729
1252,1120.920975154413
632,3778.7827731042216
2141,2767.5550356930926
4925,3140.986731619023
4311,3053.269770805362
24,480.1121719551902
358,436.2900499333282
0,605.7614297351556
10497,3723.3054091647955
4896,3178.103034280839
1504,4092.6933596685576
965,414.91379054445315
2402,3570.1043546050514
3899,2444.1163518986596
4353,2533.73828536556
3573,2746.8062067062515
3120,2840.3794768657117
4260,3693.248353139499
95,125.56761370481581
1740,2587.5949671811413
282,447.8501099552723
2689,3550.284429692767
2695,2324.98180088516
1,563.88051957467
2347,1796.9078268631001
2272,3738.5762259331923
1093,2671.8710020478193
4243,2575.2196842266294
515,4175.535598636447
647,767.7206661700493
3917,2962.7800063395134
247,1968.5118455492648
2464,2111.698921857069
1012,3459.037869108304
640,3787.2798656007817
1746,1783.3158412768043
1427,2799.4106923990057
878,879.2598827007951
1579,1098.9065685576516
26,913.0816554204084
15,311.12310443293427
1470,2983.4510044004
482,3870.254715641424
1,-281.91952342823606
3117,1190.3691351687758
2,331.0049648089498
1669,2138.676982025865
2201,1138.6148019205448
1091,3167.8120172122017
434,4133.402138521387
2,166.15082173593873
4297,2966.338642627541
3245,2206.044109979195
3482,1962.5410988837702
44,498.69370221629833
1639,2167.0152675463924
16,837.494840576519
4203,3370.054271655741
7355,4125.59647069582
1292,703.6774254067732
2127,3189.5014199361485
1661,2027.2448892154698
834,4196.211108797508
690,1573.2654347453808
787,1308.4142832979724
4207,3597.965461357877
95,1588.5046893602866
1273,2667.1007794876805
2886,3750.372310282737
0,1080.292313826476
7954,2805.226231149967
29,773.6469946290908
3800,2416.907722507365
31,896.4676185248118
6631,3716.150286007005
15,1100.8086819336331
2992,4619.330777081588
3078,2938.038226017032
207,4052.044449462892
2,1066.11906483432
72,897.8986195436319
205,985.8461902764266
689,3313.1760205873306
7374,4726.706363723077
3331,2767.9824233668205
0,1689.145945831693
3,745.4757799670642
2854,3268.8939306428674
2,680.4186752796977
2481,2645.637500013212
0,737.1858880912932
2820,2674.46628375647
2217,2288.4652101781558
7148,3181.2794742255082
1046,2875.754908689387
5912,3162.63937045914
1,484.7974899829005
1786,2636.352767879014
1,385.3817961443583
1721,2226.6815231934725
1989,2615.852615198428
1,983.8449978297449
358,-30.569095373639357
1,821.4134143967403
4,683.0415142446454
41,539.5539804941527
17,-36.59785727313829
2097,2935.7980349237496
71,1184.8146045053309
2029,1103.8014709779982
3573,2762.239496954488
1266,3494.4928512578444
3033,1998.049025279166
1549,2797.3480134133624
1069,847.6187719674363
6070,5237.465004111846
1,1228.1547455851269
1042,2795.021374538237
899,3193.500513695357
927,3129.972753708733
2919,2251.4607793847554
2864,953.2300712244923
0,238.94508498952382
1,336.0971481694087
3556,2335.487121547618
9832,3423.459009987202
529,2953.1783059953177
3671,2591.5301507523855
2245,3141.091488924156
6389,3428.79678242501
1536,2522.8401722471626
4690,2420.54160376877
1576,1932.786482962243
0,577.6617919381115
2964,1448.9756787554816
1877,1408.5938626974112
0,1007.2506567300607
1,480.7994412337448
3385,2495.666910513961
2935,3054.462423196923
1236,1795.9855748364225
908,597.1317252878525
1522,3702.2872960877594
0,666.9157851840882
0,698.9596734516836
3403,589.0938878770849
14,-263.45479738960967
2958,4808.139256037526
0,1453.6787162749551
1,1491.40501850912
4316,4596.447421274019
1357,4797.072987011301
260,3095.4963183023665
1362,1877.5153881413444
0,318.5274516058689
2432,2079.4692355924217
749,4050.1770827320597
253,-206.94728979661704
2835,843.813563314734
38,-279.2916060944099
2866,4338.811562610371
873,211.33309361788451
2974,4281.236800627523
1931,1647.5615817260277
36,696.3009625020659
7680,4749.866057847836
2275,2749.70558538817
3041,2467.2031262026157
3689,3190.545940168371
691,354.3805861999276
3480,1980.4619540770673
2700,1482.284336091152
8118,4842.4938989925595
1794,2297.2423007208145
317,166.96317199849182
55,1338.1906207011361
2654,2802.943764515092
433,3631.238817864034
777,435.86639182351246
0,357.14325655633183
1,-113.70743169866728
2963,1444.6238946488174
1,-286.9556828201512
997,2520.487609945487
144,3875.1923250357377
9241,5210.282087795453
1112,361.0511855951281
1114,1161.2250095700601
1168,2993.7984704248247
2054,2211.893389444931
1756,2132.5080686128804
2835,2599.182584743936
33,458.3715760593932
2051,4007.794516863667
0,1029.7236447775376
0,285.0185235759436
753,3301.9650000649217
2416,1806.9055331791624
848,2911.8792733201863
2,2014.7976174283704
768,3868.801771464745
1,607.2999916299468
4381,2986.9848712183284
2194,1334.4077508415376
3331,3433.5718821282226
23,800.6442699267809
2713,3456.397200311172
0,1477.6853162301722
61,933.7614565076387
8492,3876.2651759901364
1399,1482.0073313845705
416,1215.774983075813
3726,3585.3265547124483
5718,2473.114032277388
2,162.65213222493549
979,2871.0304377738375
555,1210.4743879477774
3122,3077.7937084963505
754,4132.117588014562
1,97.80565379961081
9987,3482.046449163363
1818,4317.390355919941
47,757.911376086051
7987,4570.07748482541
3483,3182.530738869742
2279,1384.2375402480993
4820,2225.691448180487
8,1933.7703147885495
2581,1273.440206092304
2259,887.6691561535281
2198,4639.29568062589
2522,1162.0145411695867
4184,4058.6280762462866
2381,2061.8592020618544
3509,1957.5090833178492
0,1516.6697550234403
534,2114.7359682933766
1501,557.3804747688137
647,4800.230535966797
3880,2709.1577815678193
4925,3776.9862470167445
1497,3769.6275652599015
2622,1691.4591313551518
587,2415.2976522982663
961,639.7658405016064
2618,2845.0863606086514
0,-38.26763743434094
3350,3772.796307681785
6702,2999.458978703553
0,3540.5168439123536
4608,3872.0051048366604
3587,2622.632493720872
31,1440.314194166729
1424,1861.7367738714256
1138,1388.4946011121083
2943,2071.7442326674773
1742,2152.4228879308957
1570,301.88883209465894
2686,744.4983604393146
1084,1915.1352124177956
882,3226.3871214216797
1573,1827.2942346013024
1598,1997.1088221946356
2415,3532.3171847517388
7211,2555.4850740271086
1758,929.1037586006441
2392,1331.515485471131
981,3002.1808101321094
3071,2929.7676754312943
3045,1763.7222853891599
1911,3359.136132813963
0,1983.3984466240963
10239,2635.750807804683
1361,1293.7991448534758
396,3171.5048806125287
13,348.5638635906089
1376,3718.304192448575
1549,3476.5957992013664
0,-88.68859515843906
681,2078.9186256461417
1846,1389.9270754608897
3527,2629.7013809454966
10175,4995.546692162972
10924,4957.084862144804
5079,3560.9616120521714
435,1430.3290790641204
