timestamp,Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName,GHI,DNI,Wind_Speed_2m,Wind_Direction_2m,Temp_2m,RH_2m,Pressure,wind_speed_50m,wind_direction_50m,temp_50m,density_VT,pressure_VT,ri_number,rh_50m,rmol_VT
10/15/2020 18:00,2020-10-15 18:00:00+02:00,10/15/2020,18:00:00,19:00:00,Solar,222,289,Thursday,October,0,0,4.1,336,7.3,90.19,978,19,5,5.4,1.17,931.5,0,81.2,0.0002
7/28/2020 11:00,2020-07-28 11:00:00+02:00,7/28/2020,11:00:00,12:00:00,Wind,3375,210,Tuesday,July,692,268,2,220,31.9,38.73,980,4.8,223,21.6,1.11,940.3,-4.03,74.7,-0.0201
7/12/2020 5:00,2020-07-12 05:00:00+02:00,7/12/2020,5:00:00,6:00:00,Solar,0,194,Sunday,July,32,206,2.7,323,12.2,80,985,15.9,357,14.4,1.14,940.7,0.13,57.4,0.0008
6/22/2020 21:00,2020-06-22 21:00:00+02:00,6/22/2020,21:00:00,22:00:00,Solar,37,174,Monday,June,0,0,3,348,17.3,76.98,986,10.5,1,11.2,1.05,859,0.01,93,0.0003
7/28/2020 14:00,2020-07-28 14:00:00+02:00,7/28/2020,14:00:00,15:00:00,Wind,4409,210,Tuesday,July,775,688,1.8,237,31.3,43.69,980,5.6,206,23.8,1.1,940.1,-2.69,71.6,-0.0161
7/12/2020 10:00,2020-07-12 10:00:00+02:00,7/12/2020,10:00:00,11:00:00,Solar,2839,194,Sunday,July,832,908,3.1,5,24.3,40.68,986,17.2,1,15.9,1.13,940.2,0.1,50.7,0.0007
7/12/2020 10:00,2020-07-12 10:00:00+02:00,7/12/2020,10:00:00,11:00:00,Solar,2839,194,Sunday,July,832,908,3.1,5,24.3,40.68,986,9.4,8,16.9,1.13,942.2,-0.4,63.5,-0.0051
6/22/2020 23:00,2020-06-22 23:00:00+02:00,6/22/2020,23:00:00,24:00:00,Solar,1,174,Monday,June,0,0,2.6,340,15,80.49,986,10.3,6,10.7,1.05,859,0.1,93.4,0.0007
10/16/2020 3:00,2020-10-16 03:00:00+02:00,10/16/2020,3:00:00,4:00:00,Solar,0,290,Friday,October,0,0,4.5,342,7,94.14,979,20.9,2,4.6,1.17,932.6,0.06,93.2,0.0004
7/28/2020 17:00,2020-07-28 17:00:00+02:00,7/28/2020,17:00:00,18:00:00,Wind,4662,210,Tuesday,July,254,70,1.5,284,28.4,56.51,980,5.2,208,24.6,1.1,939.8,-1.74,78.5,-0.0119
